Titre,Annee_de_sortie,Duree,Genre,Realisateur,Note,Nombre_de_votants,Acteurs,Affiche,Recettes
Brigsby Bear,2017,97,"['Comedy', 'Drama']",Dave McCary,7.3,17549.0,Kyle Mooney,/xIPgbuGcorPbOs2l3dVyaQbDboW.jpg,532669.0
Brigsby Bear,2017,97,"['Comedy', 'Drama']",Dave McCary,7.3,17549.0,Jorge Lendeborg Jr.,/xIPgbuGcorPbOs2l3dVyaQbDboW.jpg,532669.0
Brigsby Bear,2017,97,"['Comedy', 'Drama']",Dave McCary,7.3,17549.0,Matt Walsh,/xIPgbuGcorPbOs2l3dVyaQbDboW.jpg,532669.0
Brigsby Bear,2017,97,"['Comedy', 'Drama']",Dave McCary,7.3,17549.0,Michaela Watkins,/xIPgbuGcorPbOs2l3dVyaQbDboW.jpg,532669.0
The Divine Order,2017,96,"['Comedy', 'Drama']",Petra Biondina Volpe,7.1,2978.0,Marie Leuenberger,/xkdnTSj3Zia0rik1wh6agIf2jNF.jpg,30071.0
The Divine Order,2017,96,"['Comedy', 'Drama']",Petra Biondina Volpe,7.1,2978.0,Maximilian Simonischek,/xkdnTSj3Zia0rik1wh6agIf2jNF.jpg,30071.0
The Divine Order,2017,96,"['Comedy', 'Drama']",Petra Biondina Volpe,7.1,2978.0,Rachel Braunschweig,/xkdnTSj3Zia0rik1wh6agIf2jNF.jpg,30071.0
The Divine Order,2017,96,"['Comedy', 'Drama']",Petra Biondina Volpe,7.1,2978.0,Sibylle Brunner,/xkdnTSj3Zia0rik1wh6agIf2jNF.jpg,30071.0
Pelli Choopulu,2016,125,"['Comedy', 'Drama', 'Romance']",Tharun Bhascker Dhaassyam,8.2,7905.0,Abhay Bethiganti,/1v7MyHGhdtWlzWzz0r8S3EEww0L.jpg,5500000.0
Pelli Choopulu,2016,125,"['Comedy', 'Drama', 'Romance']",Tharun Bhascker Dhaassyam,8.2,7905.0,Keshav Deepak,/1v7MyHGhdtWlzWzz0r8S3EEww0L.jpg,5500000.0
Pelli Choopulu,2016,125,"['Comedy', 'Drama', 'Romance']",Tharun Bhascker Dhaassyam,8.2,7905.0,Vijay Deverakonda,/1v7MyHGhdtWlzWzz0r8S3EEww0L.jpg,5500000.0
Pelli Choopulu,2016,125,"['Comedy', 'Drama', 'Romance']",Tharun Bhascker Dhaassyam,8.2,7905.0,Anish Kuruvilla,/1v7MyHGhdtWlzWzz0r8S3EEww0L.jpg,5500000.0
How Viktor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,2017,90,"['Crime', 'Drama']",Aleksandr Khant,7.1,3797.0,Evgeniy Tkachuk,/sdVwyVm5C9Fk5yEn2u0lFVSZbYZ.jpg,95589.0
